check,line_item,fiscal_year,selected_value,other_value,other_accession,status
companyfacts_api,sbc,2023,774.0,774.0,0000909832-24-000049,MATCH
companyfacts_api,chg_inventories,2023,-1228.0,-1228.0,0000909832-24-000049,MATCH
companyfacts_api,chg_accounts_payable,2023,-382.0,-382.0,0000909832-24-000049,MATCH
companyfacts_api,chg_other_wc,2023,-172.0,-172.0,0000909832-24-000049,MATCH
companyfacts_api,capex,2023,4323.0,4323.0,0000909832-24-000049,MATCH
companyfacts_api,cfi,2023,-4972.0,-4972.0,0000909832-24-000049,MATCH
companyfacts_api,dividends_paid,2023,1251.0,1251.0,0000909832-24-000049,MATCH
companyfacts_api,buybacks,2023,676.0,676.0,0000909832-24-000049,MATCH
companyfacts_api,debt_issued,2023,0.0,0.0,0000909832-24-000049,MATCH
companyfacts_api,debt_repaid,2023,75.0,75.0,0000909832-24-000049,MATCH
companyfacts_api,cff,2023,-2614.0,-2614.0,0000909832-24-000049,MATCH
companyfacts_api,fx_effect,2023,15.0,15.0,0000909832-24-000049,MATCH
companyfacts_api,net_change_cash,2023,3497.0,3497.0,0000909832-24-000049,MATCH
companyfacts_api,income_taxes_paid,2023,2234.0,2234.0,0000909832-24-000049,MATCH
companyfacts_api,interest_paid,2023,125.0,125.0,0000909832-24-000049,MATCH
companyfacts_api,cfo,2024,11339.0,11339.0,0000909832-24-000049,MATCH
companyfacts_api,d_and_a,2024,2237.0,2237.0,0000909832-24-000049,MATCH
companyfacts_api,sbc,2024,818.0,818.0,0000909832-24-000049,MATCH
companyfacts_api,chg_inventories,2024,2068.0,2068.0,0000909832-24-000049,MATCH
companyfacts_api,chg_accounts_payable,2024,1938.0,1938.0,0000909832-24-000049,MATCH
companyfacts_api,chg_other_wc,2024,-741.0,-741.0,0000909832-24-000049,MATCH
companyfacts_api,capex,2024,4710.0,4710.0,0000909832-24-000049,MATCH
companyfacts_api,cfi,2024,-4409.0,-4409.0,0000909832-24-000049,MATCH
companyfacts_api,dividends_paid,2024,9041.0,9041.0,0000909832-24-000049,MATCH
companyfacts_api,buybacks,2024,700.0,700.0,0000909832-24-000049,MATCH
companyfacts_api,debt_issued,2024,498.0,498.0,0000909832-24-000049,MATCH
companyfacts_api,debt_repaid,2024,1077.0,1077.0,0000909832-24-000049,MATCH
companyfacts_api,cff,2024,-10764.0,-10764.0,0000909832-24-000049,MATCH
companyfacts_api,fx_effect,2024,40.0,40.0,0000909832-24-000049,MATCH
companyfacts_api,net_change_cash,2024,-3794.0,-3794.0,0000909832-24-000049,MATCH
companyfacts_api,income_taxes_paid,2024,2319.0,2319.0,0000909832-24-000049,MATCH
companyfacts_api,interest_paid,2024,129.0,129.0,0000909832-24-000049,MATCH
companyfacts_api,operating_lease_liab_total,2020,2789.0,2789.0,0000909832-20-000017,MATCH
companyfacts_api,total_lease_liab,2020,3477.0,,0000909832-21-000014,COMPANY_EXTENSION_TAG
